Date,Open,High,Low,Close,Adj Close,Volume
2016-08-26,301.45,301.45,301.45,301.45,301.45,36301200
2016-08-29,307.53,307.53,307.53,307.53,307.53,36301200
2016-08-30,305.86,305.86,305.86,305.86,305.86,36301200
2016-08-31,310.19,310.19,310.19,310.19,310.19,36301200
2016-09-01,308.71,308.71,308.71,308.71,308.71,36301200
2016-09-02,305.78,305.78,305.78,305.78,305.78,36301200
2016-09-05,308.5,308.5,308.5,308.5,308.5,36301200
2016-09-06,309.94,309.94,309.94,309.94,309.94,36301200
2016-09-07,306.6,306.6,306.6,306.6,306.6,36301200
2016-09-08,305.82,305.82,305.82,305.82,305.82,36301200
2016-09-09,304.63,304.63,304.63,304.63,304.63,36301200
2016-09-12,298.06,298.06,298.06,298.06,298.06,36301200
2016-09-13,300.43,300.43,300.43,300.43,300.43,36301200
2016-09-14,299.57,299.57,299.57,299.57,299.57,36301200
2016-09-19,300.13,300.13,300.13,300.13,300.13,36301200
2016-09-20,294.96,294.96,294.96,294.96,294.96,36301200
2016-09-21,294.05,294.05,294.05,294.05,294.05,36301200
2016-09-22,296.98,296.98,296.98,296.98,296.98,36301200
2016-09-23,297.68,297.68,297.68,297.68,297.68,36301200
2016-09-26,288.73,288.73,288.73,288.73,288.73,36301200
2016-09-27,291.17,291.17,291.17,291.17,291.17,36301200
2016-09-28,288.41,288.41,288.41,288.41,288.41,36301200
2016-09-29,290.98,290.98,290.98,290.98,290.98,36301200
2016-09-30,297.91,297.91,297.91,297.91,297.91,36301200
2016-10-10,302.96,302.96,302.96,302.96,302.96,36301200
2016-10-11,308.92,308.92,308.92,308.92,308.92,36301200
2016-10-12,305.82,305.82,305.82,305.82,305.82,36301200
2016-10-13,303.89,303.89,303.89,303.89,303.89,36301200
2016-10-14,305.6,305.6,305.6,305.6,305.6,36301200
2016-10-17,302.45,302.45,302.45,302.45,302.45,36301200
2016-10-18,307.16,307.16,307.16,307.16,307.16,36301200
2016-10-19,306.45,306.45,306.45,306.45,306.45,36301200
2016-10-20,305.48,305.48,305.48,305.48,305.48,36301200
2016-10-21,304.19,304.19,304.19,304.19,304.19,36301200
2016-10-24,306.93,306.93,306.93,306.93,306.93,36301200
2016-10-25,312.94,312.94,312.94,312.94,312.94,36301200
2016-10-26,313.68,313.68,313.68,313.68,313.68,36301200
2016-10-27,316.87,316.87,316.87,316.87,316.87,36301200
2016-10-28,317.05,317.05,317.05,317.05,317.05,36301200
2016-10-31,317.95,317.95,317.95,317.95,317.95,36301200
2016-11-01,316.68,316.68,316.68,316.68,316.68,36301200
2016-11-02,315.18,315.18,315.18,315.18,315.18,36301200
2016-11-03,315.86,315.86,315.86,315.86,315.86,36301200
2016-11-04,314.82,314.82,314.82,314.82,314.82,36301200
2016-11-07,315.33,315.33,315.33,315.33,315.33,36301200
2016-11-08,320,320,320,320,320,36301200
2016-11-09,316.81,316.81,316.81,316.81,316.81,36301200
